2
3
2
3
1.0
training session 211 done in 157 steps, espsilon: 0.01
[0.50859977 0.04893469] 10 True {}
training session 212 done in 168 steps, espsilon: 0.01
[0.51101633 0.01335979] 10 True {}
training session 213 done in 182 steps, espsilon: 0.01
[0.51163385 0.01886211] 10 True {}
training session 214 done in 94 steps, espsilon: 0.01
[0.51283313 0.03827235] 10 True {}
training session 215 done in 177 steps, espsilon: 0.01
[0.51633697 0.02268253] 10 True {}
training session 216 done in 153 steps, espsilon: 0.01
[0.50359737 0.01099317] 10 True {}
training session 217 done in 164 steps, espsilon: 0.01
[0.50523709 0.0144687 ] 10 True {}
training session 218 done in 109 steps, espsilon: 0.01
[0.5151275  0.02225034] 10 True {}
training session 219 done in 178 steps, espsilon: 0.01
[0.54020857 0.04981793] 10 True {}
training session 220 done in 150 steps, espsilon: 0.01
[0.51717387 0.02160161] 10 True {}
training session 221 done in 93 steps, espsilon: 0.01
[0.50582783 0.04937451] 10 True {}
training session 222 done in 162 steps, espsilon: 0.01
[0.52131854 0.04967104] 10 True {}
training session 223 done in 147 steps, espsilon: 0.01
[0.51264177 0.0186351 ] 10 True {}
training session 224 done in 97 steps, espsilon: 0.01
[0.5341716  0.04678823] 10 True {}
training session 225 done in 197 steps, espsilon: 0.01
[0.52495763 0.04467165] 10 True {}
training session 226 done in 158 steps, espsilon: 0.01
[0.54151811 0.04382726] 10 True {}
training session 227 done in 174 steps, espsilon: 0.01
training session 228 done in 200 steps, espsilon: 0.01
training session 229 done in 200 steps, espsilon: 0.01
[0.50632422 0.04194534] 10 True {}
training session 230 done in 199 steps, espsilon: 0.01
[0.51293525 0.0491646 ] 10 True {}
training session 231 done in 196 steps, espsilon: 0.01
[0.51704464 0.0216642 ] 10 True {}
training session 232 done in 94 steps, espsilon: 0.01
[0.50591109 0.04944082] 10 True {}
training session 233 done in 148 steps, espsilon: 0.01
[0.50913093 0.04921916] 10 True {}
training session 234 done in 199 steps, espsilon: 0.01
[0.50662456 0.01910162] 10 True {}
training session 235 done in 91 steps, espsilon: 0.01
training session 236 done in 200 steps, espsilon: 0.01
[0.51772129 0.02194942] 10 True {}
training session 237 done in 88 steps, espsilon: 0.01
[0.50731285 0.03813261] 10 True {}
training session 238 done in 134 steps, espsilon: 0.01
[0.50444714 0.01235895] 10 True {}
training session 239 done in 108 steps, espsilon: 0.01
training session 240 done in 200 steps, espsilon: 0.01
[0.50591109 0.04944082] 10 True {}
training session 241 done in 162 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 242 done in 150 steps, espsilon: 0.01
[0.50284824 0.01012332] 10 True {}
training session 243 done in 123 steps, espsilon: 0.01
[0.51617568 0.01689131] 10 True {}
training session 244 done in 155 steps, espsilon: 0.01
[0.5091596  0.01730038] 10 True {}
training session 245 done in 92 steps, espsilon: 0.01
training session 246 done in 200 steps, espsilon: 0.01
training session 247 done in 200 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 248 done in 148 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 249 done in 144 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 250 done in 146 steps, espsilon: 0.01
[0.51744276 0.04747963] 10 True {}
